N,P,K,temperature,humidity,ph,rainfall,label
95.26,53.88,34.91,23.43,90.29,5.48,297.95,rice
79.16,54.14,47.82,22.03,86.63,6.23,222.28,rice
63.29,50.99,37.75,22.46,88.29,5.76,283.08,rice
98.71,53.27,50.16,24.91,83.2,5.84,236.44,rice
80.07,49.81,50.53,20.42,82.47,5.85,221.89,rice
89.3,50.93,50.23,26.84,83.44,5.69,243.06,rice
62.37,47.06,53.34,23.84,80.41,6.51,251.51,rice
62.47,53.12,42.51,24.19,81.41,6.63,211.55,rice
73.85,45.98,44.12,22.11,81.57,6.56,248.79,rice
76.67,57.39,57.38,21.38,85.93,5.91,222.61,rice
79.06,56.73,56.4,25.86,81.0,6.91,289.68,rice
94.45,53.14,42.53,20.61,84.73,6.19,278.0,rice
91.12,57.21,33.01,23.16,84.86,6.33,302.18,rice
96.07,49.48,55.33,21.03,85.44,5.52,231.78,rice
66.51,57.2,38.45,22.7,81.19,6.71,273.28,rice
81.69,43.65,36.54,22.04,82.89,6.31,280.35,rice
92.05,53.01,34.85,23.78,83.13,6.81,248.99,rice
60.04,49.47,57.97,24.86,83.32,6.73,282.46,rice
78.79,51.84,58.65,26.39,89.45,6.72,216.82,rice
89.43,54.78,59.28,21.02,82.75,5.95,234.58,rice
67.75,57.22,38.14,25.56,88.84,6.88,222.13,rice
99.75,56.07,48.39,22.91,88.83,6.09,234.09,rice
62.64,56.06,33.07,20.32,83.37,5.83,283.22,rice
83.39,54.0,35.47,25.39,87.24,6.12,208.62,rice
88.74,55.4,45.06,23.63,85.37,6.88,202.1,rice
75.64,58.44,56.88,24.23,82.87,6.23,239.72,rice
74.95,57.95,47.49,23.88,83.1,6.65,300.34,rice
76.06,50.52,30.86,22.61,82.8,6.07,284.99,rice
81.41,51.51,57.29,22.55,89.05,6.08,295.24,rice
94.18,43.82,41.66,26.5,83.69,5.5,299.25,rice
97.59,54.82,33.89,23.01,79.77,6.92,269.0,rice
66.04,53.64,47.74,26.19,82.91,6.22,236.86,rice
63.5,56.36,53.4,22.76,82.85,6.75,277.12,rice
80.92,50.83,48.6,26.63,84.96,6.35,278.23,rice
75.86,55.71,49.63,22.94,84.84,5.73,284.01,rice
64.92,42.37,35.21,21.14,82.15,6.88,207.93,rice
83.32,59.01,50.14,25.85,86.35,6.86,248.6,rice
94.58,54.11,47.46,21.91,83.47,5.54,287.08,rice
94.46,44.63,53.27,25.04,89.09,6.64,288.94,rice
87.76,43.78,39.6,25.97,81.82,6.77,285.49,rice
75.04,51.13,47.64,24.58,87.69,5.65,259.99,rice
89.95,42.96,58.59,26.37,85.93,5.66,223.41,rice
89.14,50.43,59.88,23.19,81.01,6.44,234.36,rice
95.43,42.49,34.48,20.94,80.31,6.16,202.69,rice
82.27,48.99,50.14,25.89,81.14,6.66,294.73,rice
69.36,49.7,58.12,20.86,84.3,6.71,277.39,rice
65.69,57.73,56.63,20.35,81.99,6.77,210.56,rice
62.47,50.1,36.93,20.94,83.65,6.45,233.16,rice
94.16,48.25,46.36,25.65,82.15,6.09,217.65,rice
66.88,54.06,37.61,26.72,85.86,6.09,285.03,rice
67.32,49.76,54.0,21.72,81.21,6.23,229.38,rice
72.55,50.6,40.41,25.43,85.25,6.89,211.68,rice
79.27,48.48,55.84,26.12,84.82,6.58,246.41,rice
85.94,58.16,59.24,24.71,81.77,6.03,235.63,rice
89.64,46.26,59.54,24.0,84.43,6.03,235.22,rice
98.83,41.66,46.97,26.22,89.22,6.71,224.01,rice
67.91,46.57,32.59,20.83,84.1,6.82,250.23,rice
76.53,49.2,30.09,23.29,83.99,6.04,255.17,rice
70.06,57.97,42.04,23.38,87.38,5.59,257.78,rice
85.8,55.18,33.24,25.44,86.54,5.51,290.28,rice
70.77,47.66,57.92,26.39,85.81,6.33,262.21,rice
71.91,58.03,45.94,23.56,88.84,6.78,207.36,rice
73.33,46.23,40.25,23.85,90.17,6.93,256.91,rice
96.45,40.86,48.87,26.52,89.95,6.57,266.47,rice
66.29,48.68,54.12,20.27,83.96,6.3,277.91,rice
74.22,55.57,59.55,23.5,81.89,6.37,207.49,rice
92.67,50.41,33.39,25.02,89.82,6.81,213.43,rice
98.47,59.85,53.46,24.65,88.06,5.99,275.75,rice
88.28,47.64,46.43,25.2,90.04,6.97,294.33,rice
68.46,59.31,34.63,23.34,87.84,6.62,265.19,rice
66.82,52.67,38.76,23.92,83.61,5.81,214.14,rice
69.22,47.83,43.89,20.7,87.27,6.28,224.18,rice
78.58,43.34,32.86,20.6,89.64,5.58,227.14,rice
64.74,50.45,43.93,22.76,88.78,6.44,294.07,rice
95.5,49.67,47.04,22.11,89.2,6.94,247.66,rice
68.69,59.34,42.87,26.14,84.74,6.55,209.41,rice
82.15,42.5,45.75,23.95,82.05,5.85,260.83,rice
72.47,49.53,42.69,22.86,81.66,6.83,260.77,rice
72.62,48.91,32.69,24.25,86.07,5.83,301.46,rice
67.86,50.35,38.69,20.38,88.08,6.3,203.16,rice
63.62,56.89,52.92,25.18,79.45,6.02,220.22,rice
77.34,46.57,51.83,23.93,82.75,6.41,200.11,rice
83.47,39.31,41.73,22.57,89.72,5.87,270.74,rice
75.62,42.83,46.42,22.5,87.65,6.69,294.18,rice
71.82,42.03,50.35,23.98,84.32,6.62,277.61,rice
73.46,53.45,47.37,25.27,81.36,5.54,225.5,rice
93.91,40.85,48.47,20.96,79.93,5.6,261.46,rice
86.99,57.91,37.0,21.24,89.87,6.75,247.34,rice
95.48,41.45,33.47,26.19,84.3,6.61,256.38,rice
63.6,44.64,51.87,20.03,81.73,6.29,298.16,rice
64.14,46.92,58.25,26.29,80.25,6.0,273.58,rice
66.71,59.26,58.33,23.06,82.03,5.49,249.66,rice
95.19,52.04,54.55,21.3,80.71,6.25,229.75,rice
99.66,43.99,50.55,19.95,86.51,6.24,268.29,rice
71.51,53.79,41.37,26.39,88.21,6.38,206.58,rice
97.53,40.27,30.64,22.21,86.52,6.12,200.09,rice
82.02,45.23,53.67,25.59,88.52,5.5,235.12,rice
78.82,50.48,53.87,20.29,83.3,6.07,274.93,rice
81.05,53.51,32.68,24.3,88.4,6.88,267.37,rice
61.13,47.05,34.71,23.36,81.54,6.36,273.27,rice
73.86,43.08,56.51,21.15,80.58,5.96,245.74,rice
89.21,53.41,51.44,22.09,80.97,6.76,232.53,rice
74.99,54.5,49.59,20.38,84.14,5.54,283.92,rice
64.12,55.74,42.04,23.81,79.91,6.83,234.42,rice
61.53,55.64,40.74,23.35,84.13,6.53,213.55,rice
80.82,46.14,48.89,24.69,87.1,6.38,216.47,rice
62.29,58.21,53.53,22.19,86.2,6.02,222.4,rice
89.34,54.24,51.71,24.19,83.82,6.51,283.93,rice
88.64,55.51,46.53,20.87,84.5,5.53,215.41,rice
76.69,47.01,41.97,23.44,85.3,6.09,215.54,rice
100.08,43.63,56.46,20.56,82.91,6.98,216.11,rice
88.27,55.54,46.52,23.89,84.24,6.68,220.42,rice
91.98,43.06,56.72,22.61,81.77,5.73,199.44,rice
61.45,47.31,48.7,22.49,87.74,6.43,203.95,rice
92.74,59.3,54.92,26.05,84.67,6.47,283.22,rice
71.62,52.2,52.95,26.07,81.1,5.8,281.48,rice
89.38,44.35,43.55,23.47,80.47,6.9,218.29,rice
67.92,42.69,51.4,26.9,89.41,5.81,264.56,rice
61.94,52.94,43.51,25.56,85.7,5.68,255.87,rice
67.21,53.43,46.71,24.87,84.53,6.85,210.23,rice
89.38,48.72,51.25,20.37,86.14,6.43,212.79,rice
93.34,56.33,38.89,20.03,89.11,6.52,254.96,rice
63.95,50.07,57.38,21.35,81.31,6.76,288.06,rice
79.69,49.31,51.13,21.09,88.09,5.8,280.3,rice
91.2,53.34,49.23,22.37,84.92,5.46,248.86,rice
67.09,42.88,49.27,26.65,86.26,5.51,252.92,rice
81.34,59.85,29.88,20.14,85.77,7.02,245.19,rice
97.17,55.38,36.37,20.92,83.11,6.01,247.57,rice
100.16,46.56,42.31,21.15,86.33,6.01,265.9,rice
67.21,48.47,33.57,23.83,82.82,6.6,216.43,rice
80.61,43.1,36.13,21.34,82.77,5.91,263.86,rice
92.26,50.32,48.8,20.38,90.26,5.52,280.62,rice
95.5,47.7,41.86,25.93,88.97,5.94,289.18,rice
94.66,44.69,39.56,23.95,81.23,5.67,276.25,rice
80.84,45.19,30.92,22.66,85.16,6.41,218.28,rice
64.31,45.85,35.19,23.4,87.99,6.65,218.84,rice
68.89,56.97,48.58,23.69,82.05,7.01,233.82,rice
67.75,52.97,58.1,21.76,84.91,6.22,259.67,rice
86.67,56.68,31.45,27.08,83.38,5.67,269.87,rice
60.97,58.13,53.31,25.71,80.49,6.04,270.15,rice
92.45,55.37,44.42,25.12,87.18,6.7,242.02,rice
71.53,47.93,31.3,22.16,88.19,6.67,276.71,rice
65.16,44.62,37.92,23.51,81.22,6.26,222.75,rice
64.59,53.98,56.85,20.68,84.8,6.52,210.25,rice
87.07,47.12,43.9,26.19,81.08,6.69,217.79,rice
85.27,43.16,46.28,21.46,85.64,6.38,286.13,rice
84.33,45.38,48.89,21.5,87.25,5.7,242.81,rice
91.35,44.45,38.57,24.96,88.23,6.62,244.63,rice
94.25,49.63,44.98,23.8,80.39,6.83,286.14,rice
100.29,58.0,55.41,23.44,87.43,5.69,257.59,rice
84.79,46.6,36.53,22.17,82.16,6.78,237.27,rice
74.98,43.66,34.72,24.84,80.98,6.35,262.56,rice
98.68,50.88,49.76,24.18,82.64,5.69,212.01,rice
70.64,55.11,52.8,26.75,82.75,6.04,294.96,rice
71.77,49.08,47.78,21.1,89.62,5.89,290.52,rice
82.67,61.29,53.26,25.78,70.41,6.36,63.85,maize
89.2,52.29,47.47,18.88,65.5,7.56,81.53,maize
98.73,58.59,56.59,26.4,72.63,7.06,109.02,maize
74.47,57.85,42.16,19.47,68.94,5.89,80.97,maize
84.29,60.73,41.62,23.2,67.38,7.4,76.65,maize
62.12,49.72,47.25,22.32,69.68,7.21,74.57,maize
76.31,65.9,51.66,27.18,71.01,6.06,69.08,maize
76.8,63.79,47.29,19.34,73.44,6.1,106.9,maize
97.61,56.36,43.19,24.78,67.22,6.43,87.43,maize
65.36,62.14,41.87,23.64,73.78,6.49,73.54,maize
89.54,62.32,40.18,18.92,74.36,6.49,93.75,maize
75.01,63.64,41.53,23.49,73.63,7.01,84.36,maize
81.39,61.82,55.56,22.5,73.44,6.66,79.1,maize
64.82,65.39,47.83,21.63,75.29,6.65,73.65,maize
67.01,55.68,51.53,18.86,67.46,5.95,90.8,maize
97.73,65.33,57.7,18.59,71.23,6.96,100.51,maize
69.62,67.85,41.97,20.02,72.86,6.26,105.05,maize
83.4,61.92,41.38,24.17,65.18,7.01,109.92,maize
83.23,63.58,48.08,20.24,65.76,6.02,102.13,maize
63.06,63.5,52.39,27.03,73.62,6.93,62.4,maize
87.34,52.31,45.6,21.46,69.38,5.71,68.64,maize
60.71,55.82,49.47,18.54,70.53,5.61,65.82,maize
74.5,67.62,48.21,25.21,66.57,5.77,83.06,maize
74.69,66.62,53.14,21.25,71.86,6.15,72.1,maize
72.77,57.33,41.21,21.1,75.13,7.45,90.49,maize
81.07,54.8,58.17,24.43,66.29,7.26,71.51,maize
92.31,59.75,54.45,18.47,65.35,5.45,63.17,maize
86.27,59.52,44.88,24.24,69.13,5.59,65.24,maize
77.76,56.72,42.06,26.28,69.09,7.03,85.12,maize
80.49,68.24,50.36,25.71,73.62,6.05,66.61,maize
77.48,53.91,53.01,25.49,73.12,7.29,106.23,maize
96.58,57.09,44.98,24.78,68.29,5.63,85.35,maize
72.25,66.74,54.93,22.29,70.46,6.56,64.75,maize
88.48,55.41,58.65,26.44,66.08,5.52,82.63,maize
72.18,68.97,58.16,18.89,74.16,5.58,66.12,maize
79.96,63.68,48.94,20.67,65.44,6.09,78.57,maize
97.71,64.18,40.79,23.91,73.6,7.3,78.91,maize
80.05,52.08,47.27,24.43,69.59,7.28,78.74,maize
63.13,66.87,43.84,21.01,70.41,7.29,65.08,maize
68.54,55.42,54.09,26.74,74.71,7.26,71.29,maize
63.2,68.87,60.23,26.24,66.48,6.16,109.16,maize
65.31,53.73,45.62,24.85,72.28,7.22,110.21,maize
59.12,58.79,52.25,24.45,67.73,7.37,74.25,maize
61.63,61.68,55.65,18.25,65.64,6.73,72.91,maize
60.31,53.63,53.52,23.53,65.48,5.9,87.87,maize
77.3,61.54,40.93,19.97,73.41,5.67,71.22,maize
93.26,61.13,56.35,19.87,65.83,6.77,88.33,maize
79.36,54.18,45.68,19.12,70.2,7.48,73.13,maize
75.54,51.73,58.58,23.68,73.37,5.95,60.38,maize
81.38,65.87,51.24,20.38,67.29,6.33,62.29,maize
94.77,69.12,56.02,23.46,65.43,7.32,95.28,maize
88.55,60.82,43.17,20.9,69.53,6.03,89.18,maize
77.96,65.1,59.32,20.55,65.91,6.38,70.1,maize
83.54,58.05,56.98,23.47,69.48,5.68,97.42,maize
69.45,52.98,59.27,19.4,72.37,5.7,75.19,maize
70.52,64.56,53.97,22.65,74.71,6.95,92.02,maize
85.37,65.44,57.54,20.83,75.17,6.44,101.5,maize
87.94,61.01,57.8,19.69,74.47,6.1,70.86,maize
99.24,58.51,52.34,23.75,73.83,5.57,88.82,maize
65.79,62.91,45.66,21.25,67.57,6.0,89.33,maize
83.5,52.88,43.33,21.91,71.99,5.96,58.91,maize
86.44,56.02,52.1,18.47,74.2,6.85,61.34,maize
91.67,58.21,45.83,25.33,65.53,5.67,86.41,maize
67.63,58.06,50.76,25.38,67.83,7.43,82.49,maize
73.35,65.54,43.25,26.66,74.96,5.97,74.5,maize
94.95,70.17,43.96,20.86,67.0,5.71,80.42,maize
72.72,68.66,40.42,26.57,66.82,6.16,84.17,maize
69.1,64.95,58.19,18.43,74.08,7.17,69.23,maize
65.67,65.84,55.07,19.99,73.9,5.93,68.41,maize
77.77,70.33,44.28,20.85,67.2,6.85,100.35,maize
65.14,64.91,56.99,25.17,70.34,6.62,78.11,maize
76.85,65.16,55.29,18.65,71.11,7.1,95.3,maize
72.75,52.17,46.13,18.73,66.93,6.53,83.34,maize
91.91,51.77,58.08,21.92,68.22,7.46,72.43,maize
82.17,61.8,57.6,18.05,71.97,6.95,107.13,maize
94.71,50.76,48.39,26.54,73.02,6.65,85.49,maize
63.26,52.11,41.12,24.48,74.28,6.14,58.45,maize
65.03,62.47,57.75,21.08,73.87,7.15,103.42,maize
78.1,62.59,60.84,25.76,67.58,6.46,62.83,maize
97.55,62.4,53.06,26.39,75.04,6.48,103.86,maize
62.55,64.32,58.09,24.91,74.5,6.99,75.43,maize
78.75,64.11,46.0,24.49,67.68,6.95,67.24,maize
93.27,64.37,58.72,24.74,65.89,6.77,88.15,maize
94.52,50.64,43.47,26.82,74.66,6.32,69.9,maize
77.78,57.57,45.14,22.54,71.31,6.36,81.31,maize
88.31,65.83,48.46,25.69,71.62,7.47,107.16,maize
84.27,59.09,59.54,22.24,69.22,6.37,86.4,maize
69.35,64.22,40.9,25.29,66.35,7.18,71.17,maize
89.76,51.85,59.87,21.03,65.91,6.15,74.89,maize
82.89,68.61,48.51,23.92,68.11,6.5,70.32,maize
96.9,65.38,41.88,24.79,67.63,5.89,87.12,maize
68.15,65.01,57.06,18.13,73.94,6.42,61.66,maize
98.98,66.27,56.38,22.12,64.88,6.04,90.01,maize
98.97,52.17,57.33,23.58,65.27,7.38,91.95,maize
70.49,56.89,51.42,19.09,70.95,7.13,80.76,maize
82.98,50.05,44.82,21.28,67.38,7.01,100.28,maize
80.48,58.92,44.91,19.88,74.47,5.86,91.32,maize
71.69,65.12,56.94,22.15,65.97,7.13,62.5,maize
86.43,66.36,49.5,24.92,74.53,7.04,90.09,maize
89.83,53.92,52.91,24.56,68.43,6.25,63.54,maize
73.74,56.14,50.56,25.15,68.66,6.41,58.86,maize
89.0,64.2,51.98,21.08,66.8,5.94,63.04,maize
67.93,68.92,55.66,26.06,71.66,6.83,92.5,maize
62.96,59.55,51.31,22.99,71.73,5.93,77.0,maize
98.8,67.9,54.67,22.32,69.12,6.84,66.82,maize
93.47,59.37,40.48,25.64,66.57,7.09,70.9,maize
65.68,69.19,44.08,26.64,74.05,6.83,80.38,maize
93.24,56.6,47.46,19.81,70.04,5.95,94.96,maize
71.48,67.87,57.79,25.11,69.29,6.12,90.66,maize
83.95,68.66,43.66,18.28,71.82,6.78,76.91,maize
83.72,68.31,49.1,20.4,73.83,7.17,97.97,maize
97.11,55.8,53.64,24.98,69.93,5.66,75.89,maize
92.98,60.24,50.3,25.89,69.39,6.32,105.66,maize
66.16,66.67,45.62,26.42,71.25,6.48,82.86,maize
89.18,64.32,47.54,23.25,69.18,5.47,94.3,maize
88.07,52.83,52.35,26.38,73.5,5.79,103.13,maize
98.69,66.51,52.82,23.74,68.31,6.3,102.37,maize
63.0,61.24,43.71,25.78,64.91,6.31,86.54,maize
87.97,64.01,42.03,21.3,71.14,5.48,76.28,maize
92.4,61.73,51.67,22.79,65.19,7.25,73.41,maize
62.52,50.88,44.42,26.57,74.45,5.62,96.45,maize
89.75,50.83,47.75,18.66,68.01,7.32,72.47,maize
67.52,65.93,42.16,19.23,74.64,7.38,70.95,maize
62.19,55.96,42.13,23.8,68.71,6.63,74.47,maize
63.06,52.32,58.03,18.93,72.62,7.37,89.79,maize
80.84,62.33,51.99,20.36,68.34,6.03,73.19,maize
93.77,68.58,58.65,23.65,67.44,7.37,78.1,maize
84.65,53.33,58.21,25.52,72.34,7.12,65.41,maize
95.18,67.61,47.64,24.19,67.65,7.32,73.39,maize
83.24,52.77,45.87,22.07,71.01,7.36,63.39,maize
76.78,69.05,43.08,21.38,67.56,6.18,88.57,maize
89.23,57.43,53.31,21.43,70.26,6.14,80.53,maize
68.35,53.06,44.59,26.43,70.96,5.57,72.59,maize
79.93,55.21,41.86,23.28,67.18,7.2,64.06,maize
68.24,63.05,58.55,21.64,65.78,5.74,90.11,maize
84.57,52.08,44.15,21.79,73.32,6.92,109.83,maize
88.71,56.84,50.81,22.75,67.07,5.52,89.98,maize
74.41,62.92,40.55,19.44,71.17,6.2,80.08,maize
81.32,58.79,43.07,25.02,74.38,6.78,94.1,maize
92.96,59.65,43.63,22.55,73.75,6.58,108.74,maize
90.91,67.42,59.96,21.25,66.44,6.19,92.98,maize
93.02,50.45,58.27,22.32,66.29,5.81,75.99,maize
67.71,62.03,46.11,23.13,74.57,6.37,95.14,maize
85.94,56.23,46.81,24.66,64.79,6.46,83.7,maize
87.87,59.06,41.84,17.94,70.82,6.62,71.58,maize
100.07,63.23,48.54,21.79,66.03,6.79,78.49,maize
66.5,63.7,43.3,25.72,68.26,6.9,93.19,maize
59.42,56.37,49.15,19.71,70.12,6.22,72.84,maize
87.18,65.49,57.12,25.14,68.04,6.09,106.89,maize
83.4,49.99,54.17,26.14,73.27,7.29,90.87,maize
85.58,59.12,54.97,23.98,74.62,6.41,105.02,maize
65.2,52.1,46.08,20.39,70.87,7.5,74.91,maize
93.76,62.79,43.37,25.69,66.48,5.71,85.15,maize
98.33,62.99,53.8,22.17,74.32,6.01,102.91,maize
97.34,59.79,40.86,19.74,72.72,7.39,95.24,maize
93.55,60.68,54.59,19.49,65.77,6.49,64.17,maize
67.16,69.78,51.26,24.29,69.71,6.37,74.2,maize
86.19,69.96,58.27,25.98,67.38,6.17,108.45,maize
93.02,53.55,52.18,19.89,74.17,6.89,80.23,maize
88.07,55.75,56.93,23.4,70.34,7.25,98.38,maize
84.92,67.44,43.27,20.68,71.63,6.84,79.6,maize
85.09,69.82,41.88,26.81,73.34,6.88,71.43,maize
81.81,69.23,47.29,19.25,72.38,6.09,104.58,maize
74.42,65.45,58.58,21.11,65.31,7.45,98.69,maize
93.66,68.92,48.64,23.17,71.54,7.37,89.66,maize
93.61,59.39,44.99,18.28,73.74,5.99,78.41,maize
76.17,60.79,44.56,23.9,68.97,6.36,86.51,maize
60.01,64.48,42.78,23.82,69.62,5.72,103.73,maize
66.62,68.96,50.33,18.79,66.81,6.83,100.68,maize
86.08,59.09,50.0,26.38,70.61,6.51,66.08,maize
73.33,62.77,46.43,25.09,65.57,5.71,96.13,maize
82.84,54.15,43.05,24.77,67.97,7.29,76.25,maize
65.83,69.04,54.23,25.39,65.42,5.66,112.75,maize
97.91,61.02,39.47,23.91,73.88,7.37,101.88,maize
96.24,52.66,47.13,21.76,66.87,6.08,67.88,maize
80.81,67.75,55.96,26.08,69.28,5.93,86.84,maize
70.97,50.99,52.65,24.92,66.32,5.89,67.87,maize
84.17,68.79,42.23,25.25,69.27,6.8,65.03,maize
69.65,64.26,46.1,25.07,74.86,7.25,64.62,maize
88.2,56.28,57.01,21.6,69.38,5.77,81.2,maize
88.71,59.0,48.92,23.83,65.87,5.6,92.43,maize
72.23,50.78,48.59,24.08,74.68,5.91,78.22,maize
81.55,69.5,46.02,25.13,72.36,6.04,57.89,maize
73.18,54.34,41.09,24.26,74.25,7.34,78.52,maize
59.42,67.31,51.87,23.68,70.93,7.25,97.25,maize
90.8,53.84,45.3,19.14,73.04,5.73,94.8,maize
86.8,52.77,40.03,20.22,70.38,7.29,65.08,maize
68.22,55.05,44.55,19.94,69.56,6.61,96.87,maize
62.45,63.54,56.72,20.42,72.44,5.96,84.21,maize
75.79,62.92,55.96,23.9,73.58,6.41,93.29,maize
78.88,58.41,40.21,19.06,66.99,5.8,65.62,maize
68.81,54.77,47.15,21.21,67.82,6.37,77.97,maize
76.52,59.58,46.45,21.27,70.51,7.1,59.66,maize
94.66,54.05,59.95,23.05,69.09,5.73,68.62,maize
89.85,52.82,55.99,24.83,70.72,6.61,81.95,maize
96.94,67.82,52.14,25.19,70.44,6.32,103.84,maize
95.57,67.01,44.66,19.85,67.09,5.8,105.62,maize
83.09,54.31,55.86,22.22,70.45,7.17,87.06,maize
82.47,63.77,50.2,21.64,70.41,6.43,62.01,maize
83.4,65.55,41.13,21.55,68.59,5.48,101.86,maize
26.46,48.85,26.46,33.93,86.62,6.52,68.32,mungbean
39.09,53.71,21.4,26.18,91.02,7.28,30.25,mungbean
28.64,55.86,25.9,28.91,91.4,6.85,75.43,mungbean
40.31,58.95,17.67,28.79,94.87,6.42,36.61,mungbean
33.11,54.94,24.86,31.09,91.69,7.38,76.35,mungbean
27.71,57.03,20.12,28.46,89.41,6.47,70.23,mungbean
27.76,58.8,14.29,33.29,90.0,6.59,44.96,mungbean
29.79,51.01,28.7,32.46,86.81,6.08,73.4,mungbean
26.67,55.02,24.05,27.07,88.65,6.29,58.81,mungbean
24.71,59.0,29.74,30.85,92.94,6.51,45.34,mungbean
37.2,44.94,16.93,31.91,89.62,7.29,63.43,mungbean
37.84,45.07,17.61,30.45,94.75,6.64,64.88,mungbean
32.05,48.42,21.91,32.63,85.75,6.91,32.48,mungbean
31.32,40.47,16.16,27.1,92.98,6.78,61.82,mungbean
33.26,42.47,23.17,27.01,87.63,7.56,48.07,mungbean
23.39,45.5,24.16,30.66,90.01,6.48,33.07,mungbean
34.23,43.43,16.02,28.54,91.85,7.09,74.7,mungbean
32.54,56.29,21.24,25.51,92.96,6.99,65.55,mungbean
34.4,44.52,19.92,34.92,94.76,7.1,67.14,mungbean
34.69,48.16,22.78,25.42,88.56,6.67,55.7,mungbean
31.12,47.3,16.27,33.8,87.31,6.49,79.34,mungbean
40.86,59.05,19.77,24.54,90.59,6.88,75.74,mungbean
43.84,47.24,26.47,32.22,88.41,6.3,65.85,mungbean
41.75,49.11,24.15,27.64,87.09,6.72,34.89,mungbean
32.04,58.66,20.52,29.93,88.14,7.35,65.63,mungbean
34.63,58.59,28.71,32.7,87.13,6.51,36.79,mungbean
21.75,44.22,21.99,34.96,92.71,6.89,32.48,mungbean
38.12,47.35,20.3,33.7,90.04,7.05,70.16,mungbean
40.56,45.83,19.14,27.75,93.49,7.46,78.94,mungbean
29.99,57.18,19.38,26.95,91.7,6.37,59.56,mungbean
44.99,46.76,29.59,27.61,89.05,6.21,47.46,mungbean
28.08,56.53,21.65,26.77,92.43,6.19,41.23,mungbean
28.05,55.76,28.95,27.59,87.43,6.92,56.21,mungbean
33.26,50.01,17.82,28.91,87.69,6.68,61.3,mungbean
23.03,44.0,15.44,29.84,88.56,6.35,43.86,mungbean
34.72,51.82,22.97,26.36,87.62,7.39,54.14,mungbean
39.28,43.67,20.77,32.76,85.6,6.54,78.8,mungbean
42.92,43.45,21.99,27.46,88.82,7.12,68.35,mungbean
25.35,50.49,21.22,25.8,93.36,6.4,47.26,mungbean
28.6,50.77,27.53,28.04,86.65,6.55,53.63,mungbean
23.54,52.88,23.59,31.83,90.22,6.37,42.74,mungbean
34.46,48.99,15.53,26.09,95.07,7.23,35.9,mungbean
37.21,51.9,30.29,34.83,92.76,6.46,50.27,mungbean
42.08,56.52,27.02,31.96,87.64,6.44,67.94,mungbean
22.19,51.05,24.7,34.52,94.68,6.54,33.82,mungbean
39.84,59.24,27.78,27.1,91.61,6.45,30.3,mungbean
41.96,40.21,23.88,31.73,89.32,6.49,62.1,mungbean
